name,description,region,state,country,latitude,longitude,best_months,nearest_airports,weather_info,avg_lodging_cost_per_night,avg_green_fee,estimated_trip_cost,tags,summary
Pebble Beach,Home to some of the most beautiful and challenging courses in the world,West,California,USA,36.5725,-121.9486,July through August,Monterey Regional Airport (MRY),Mediterranean climate with mild temperatures year-round,450,485,1350,"",
Madden's on Gull Lake,Historic resort featuring multiple championship golf courses on Gull Lake,Midwest,Minnesota,USA,46.4257,-94.3714,,Brainerd Lakes Regional Airport (BRD),Best season: May to September; Summer temperatures average 70-80°F,225,94,675,"",
Myrtle Beach,"Known as the ""Golf Capital of the World,"" Myrtle Beach offers over 80 championship golf courses along the Grand Strand.",Southeast,South Carolina,USA,33.6891,-78.8867,"March through May, September through November",Myrtle Beach International Airport (MYR),Subtropical climate with hot summers and mild winters. Spring and fall offer ideal golfing conditions.,200,226,600,"",
Charleston,"Historic coastal city offering a perfect blend of championship golf, lowcountry charm, and southern hospitality. Known for its year-round golf weather and diverse course designs.",Southeast,South Carolina,USA,32.7765,-79.9311,"March through May, September through November",Charleston International Airport (CHS),Subtropical climate with mild winters and warm summers. Spring and fall offer ideal golfing conditions.,275,190,825,"coastal,historic,lowcountry",
Kohler,"Home to the legendary Whistling Straits and Blackwolf Run, Kohler is a premier Midwest golf destination featuring Pete Dye masterpieces along Lake Michigan. The Straits course, host of the 2021 Ryder Cup, offers a links-style experience with stunning lakeside views.",Midwest,Wisconsin,USA,43.7394,-87.784,June through September,Milwaukee Mitchell International Airport (MKE),Warm summers and cold winters. Peak golf season is late spring through early fall. Lake Michigan influences local weather with occasional strong winds.,350,387,1050,"lakeside,resort style,championship venue",
Farmingdale,"Home to the legendary Bethpage State Park golf complex, featuring five public courses including the world-renowned Black Course, a multiple U.S. Open venue known for its difficulty and championship pedigree.",Northeast,New York,USA,40.7329,-73.4432,May through October,"John F. Kennedy International Airport (JFK), LaGuardia Airport (LGA)",Four distinct seasons with warm summers and cold winters. Best golf conditions in late spring and early fall.,200,165,600,"public golf,historic,championship venue",
Ponte Vedra Beach,"Home to TPC Sawgrass and PGA Tour headquarters, this Florida golf destination is famous for its championship courses and iconic island green 17th hole at THE PLAYERS Stadium Course.",Southeast,Florida,USA,30.24,-81.3853,October through May,Jacksonville International Airport (JAX),Subtropical climate with mild winters and hot summers. Year-round golf with best conditions in spring and fall.,400,600,1200,"coastal,resort style,championship venue",
Streamsong,"A modern golf resort featuring three distinct courses (Red, Blue, and Black) built on former phosphate mining land, offering a unique links-style experience in central Florida.",Southeast,Florida,USA,27.6661,-81.932,November through April,"Tampa International Airport (TPA), Orlando International Airport (MCO)",Subtropical climate with hot summers. Peak season is winter months with mild temperatures and lower humidity.,450,295,1350,"resort style,modern,links style",
Nekoosa,"Home to Sand Valley Golf Resort, a modern golf destination built on dramatic sand dunes in central Wisconsin, featuring world-class courses designed by leading architects.",Midwest,Wisconsin,USA,44.323,-89.9001,May through October,Central Wisconsin Airport (CWA),Continental climate with warm summers and cold winters. Peak golf season is late spring through early fall.,300,245,900,"modern,resort style,scenic views",
Sea Island,"Luxury coastal golf resort featuring multiple courses, including the Seaside Course, home of the PGA Tours RSM Classic, offering Southern hospitality and championship golf.",Southeast,Georgia,USA,31.1987,-81.3975,March through November,"Brunswick Golden Isles Airport (BQK), Jacksonville International Airport (JAX)",Coastal climate with mild winters and hot summers. Year-round golf with best conditions in spring and fall.,500,425,1500,"coastal,resort style,luxury",
