id,google_place_id,name,types,rating,latitude,longitude,formatted_address,formatted_phone_number,website,research_notes,research_status,research_last_attempted,research_attempts,location_id,is_featured,display_order,photo_reference
7,ChIJdwyUoizhjYARrPYnjs8jsyE,The Lodge at Pebble Beach,lodging|point_of_interest|establishment,4.8,36.5685457,-121.9503612,"1700 17 Mile Drive, Pebble Beach",,,,completed,,0,1,false,,AeeoHcKV5dI1VVsq5a-dqIx35ZR8ggk9SciS0zNKY97Mj_elajLa_cIXBbys7ARYv12j4chihRePAMnD-1k1tnYC0wxbWuxTqHQ_YtA-X6v36C2Ot5VV7uBqX-m0LmLQIZE8gtCopsJ6xmnCCPoRd_v-v4cc_ZlgU4VD2w8TkaQJHa5yxXoZ_4CMGaePZmAqLgP3VXSG8spvoik_xxHPr6-yHEDZytckQt1Br_hG6mevqvohUaeGqMUQ0MA6KRTWVougbWtJQrT7a4TeB90fyy_fWxMfbT3EeQ2tnw-tINMPhcajOpBUf63lun8Hn_K0dl4FRfiStfbne8s
8,ChIJ52BgeCLnjYARMD8PdzkAi4A,Spyglass Hill Golf Course,lodging|point_of_interest|establishment,4.8,36.5823625,-121.9582542,"3206 Stevenson Drive, Pebble Beach",,,,completed,,0,1,false,,AeeoHcK8v4N5uDB2zIjLQHArlS_Cz2zlXnQHOq2-7tnDjKurIuq-RBzEF76klpp1m1tugIPe_44n9Bp24mQQsmTtys-DdDG--SAVNtATUhR3habSRbvSJ66Q8gyGxhsBkSVIsu1sOk8z9bjOWsnlKzqQAmMB124x7ipRAO4UTreDDDEv3dnsUVu6tA0PN_SkYTKtpv_0B3k_RdrQPSCrret1pcAPj9jgH0rQ9JYsJOwKjo2EBrOkLVaHt5vvjuitrBO9QuWx7hT69OIA8d6bYeVMc4IHtGELghKR_bOtKLsVBKeBmldB_KE09CxxaU6Ii2lsUZ98xmV3Vtadv_Oq56OJZ3EqsVZPRU_SZl1ZraAIrAhNGJqHXG-YM1a5H-DY3ObAHwgfE754uk6aH2oefEtsOlBfyFs6tFeMmvO-6MiLttXJtUxi_NS9IXKGdb4wn7h_IbIFr7MqArUjKYfZ-VHDihQnHCKoIj2g6KM4JQqJEwT65407RyBgMqoqd7MD8qZ34uwNMePmZE7QpUFTrMeT7ULXHMXl4kkh2hwGoT7GrTHMscuzzBBpPAurNA7VXwDLWY1OINVRKDj78lLZYMcZiFYUy11pRZ9gAYtTDcO5WOrNSORQlegJcGLK1rJ-Z9ThvudSGw
9,ChIJdYZu-gDnjYARjqanasXFetE,Pebble Beach Golf Links,tourist_attraction|park|lodging|point_of_interest|establishment,4.8,36.5696553,-121.9497555,"1700 17 Mile Drive, Pebble Beach",,,,completed,,0,1,false,,AeeoHcIxV6TRkVQkuwkeQPe6nybxkqUFdbglRZlPhLPaXG6oCTNp_2CgT8xT-Me3perJXkbnuADbjhSixhsAcu1dY0-XJ-HACQhWchZKoOclKSWyvX8NsQFqoPOwFRJIYYQP4lT8MzAAvifAP9Gch3Bgh6aPAQskQcQgn4Wqs2FwQhkImzMUX61PPWEy2ly3HbGRTC72Xe8zAv8I_DKCtlOwG46BJePpvil1JmfDEqEsLwyO-0wwwbUVGdeWkdsFPzr-j_sugwWE6jzhqAd26PtOhEKbE7fEAgFdip46loOSJ3eVZNUNBGHusOKeehSv0xRtSr3mRiwZD7zawBXI5WC9xKiUfcqykcoYIMPP7RQ7BW3MxYPn__0lN_nE2enVKuxBUTT7S1i_MokkVuOKgbY26DLoup2ZUMHhxMmJ8EgNm3obb4SoNM_QytvgEvqJYxGX3YOUPUYkQxvW7Yu2P_WKvdzYFsDSSuG9eNhmq5VBCqi7B00QdfqjJie6Ur_osXMa2Spm6AeToljRmck9TH9hKulw3Bx7TihnIfrXTKBpXqKz8jzsgO8kGjhOpyxjTjWpADbDRH3KxV9WIx4fjKgdlQmHtHYbfdKqRqoBDwTsPeOJeTQdRFl-_tkbzQxwdsRzKn4zdw
10,ChIJyZmVeVeCxFQR2aqkgS4JBKs,Bandon Dunes Golf Resort,lodging|point_of_interest|establishment,4.8,43.1879049,-124.3902942,"57744 Round Lake Rd, Bandon",,,,completed,,0,18,false,,AeeoHcIx0KQLIlEHUvf1p6o2ne9mCeG3wIYLiwJxGv-po8-M8pin4Xe0UDuWWtYVbK6tXj0qAK4Rm5kyLSjvRAjU-t_hMbS51my5hXQ43Jw9j58jXpxLdeZwpiEzxYJLqO1FYTEcyPZq3NxtHlI2Ick7BeD1KESEDkTmzUU5l3QcY5gb4zIiyBE5Ajq_8N9y_LLGnAUpwfLzFOcyU09cS-Xc1hqq83vl6sF5IuF0Yb_DOBapOojA_yJRAEbsciJVc6Qso7GlW0oWh2TWhbjJBRcwGOjsYTuuoQhhYyoFWpMTTszg6kBfVEODsElBet0eL9ynOdh-jkWo5NE
2,ChIJ72RRAeXmjYARbhFqE9eC1Q8,ATM,atm|finance|point_of_interest|establishment,,36.5824349,-121.9384468,"3200 Lopez Road, Pebble Beach",,,,completed,,0,1,false,,
3,ChIJf7XD-f_mjYARDtjUSdbkWuU,Casa Palmero at Pebble Beach,lodging|point_of_interest|establishment,4.9,36.5697343,-121.9471643,"1518 Cypress Drive, Pebble Beach",,,,completed,,0,1,false,,AeeoHcL6d90j1nlAIK_C4jKw4xBrSYjlB2aKq5MRNk-evFFGEcHZuIlX8kyW4Gchi76fs-5ED7RZsGIltPant9bn0GgbH2hdbQuIc2tQJ6wkYG0nh66C94nKkNraEJga2pOIxyQBLu8vcwMmHWooGq1olorGm_5aiO2Zr0mkxAY1y40L_jtAlVT91u8LlkVHiL-8nsKbHLjHIqj3TmYlBCUvFCZl_mww7Jgiid_KkHUJPaEBz8J9ZJxdf9v_LAvszpp-lOyqeEipISrUx6m63K3FDSIiy4-i7vbBMBLuQk9SgHOGQU4YKCu2iWJXG6v7kJ9dxVg1S0XNrtE
4,ChIJvW8bLx7njYAR-_ZPObwtHRU,Church In the Forest,church|tourist_attraction|place_of_worship|point_of_interest|establishment,4.8,36.5825383,-121.9500178,"3152 Forest Lake Road, Pebble Beach",,,,completed,,0,1,false,,
5,ChIJKTBoCODmjYARZVhP5PoAD_Y,Del Monte Forest,locality|political,,36.5863492,-121.9474558,Del Monte Forest,,,,completed,,0,1,false,,
6,ChIJ6bvobWnnjYAR-GbFyAvIjgI,Fairway One at The Lodge,lodging|point_of_interest|establishment,4.9,36.5696202,-121.9497858,"1700 17 Mile Drive, Pebble Beach",,,,completed,,0,1,false,,AeeoHcLWrZtetCH4N_4EHm-MpUrsw6xw42GjK0iEb8-wwECexKFDLbITpKwRgOyl_7mTKk6PJSP0Y9dXQL46mBqxNRkF3OPrMgqLacrQzku6Z4I0lBi55fb4s6fV5Afh2771dnzVHaORPH5VEPd03DIuQTIc4UIqiTMTJ1yY0oQPrRGPwa2EcmP-syyFkiYssfnq6IZ5jYriBbCYu3oGYRaEwr6jcXQuTjzICtBvHUdYn7TuzCpF1wcqyKyXKoUc6V_k7TQTpucpa_s-nsHC3RM40O0A1rpwOa7bCR0ThxQfNKHUbR1-jjjp-Yhn4OiCHBe6rtF-Ln5S6uc
18,ChIJbeP2cxZ6_ogRaJDdNYKek8Q,"Wentworth Mansion, an SLH Hotel",lodging|point_of_interest|establishment,4.8,32.7798744,-79.9398818,"149 Wentworth Street, Charleston",,,,completed,,0,4,false,,AeeoHcIcTvJKm2V8Vs82GkK_mY6OUSEd4rvGKmL9oU9C-gV12BrbxNbPcwzT46DX4ouPGCnW6Qued2zsTLxVsxHuGTe0kESRpA4-QZ-8p7lOYz7r3bBacgzyfAQ0frlmqPziHl79X3o1xmG1yvDr-n6zcIvZBWadLqFkP0HM0FOutFghNPEZCKt1I9eefXZlkvF3GJ7S6hhWhXenh1wQTWg2_j8MLZoJHiKJhF-V0Hu2fNrV-onuoI_wyrtQxX5KfQ8BNcNYt-tfDvzhdffhNiTY_yXF6XrtqfyRs1zKK2fU4THtvDrxcKBsmN8qF49XHL0RBzNcxiGHN9g
